id,igdb_id,csv_title,igdb_title,title_match,csv_cover_url,igdb_cover_url,cover_match,nominator,comment,audit_status
cb915c6a-649c-4f89-bf24-90bf374277b5,228525,Hades 2,Hades II,Mismatch,https://images.igdb.com/igdb/image/upload/t_1080p/coaknx.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/coaknx.jpg,Match,Lucas,,TITLE_MISMATCH
e905f4cb-bcc2-43a0-858b-16432e99e697,324256,Hell Clock,Hell Clock,Match,https://images.igdb.com/igdb/image/upload/t_cover_big/co946e.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/cocczq.jpg,Mismatch,Matheus,,COVER_MISMATCH
d487ffaa-7e89-4174-b222-48f1aadd5d12,11708,Hero Siege,Hero Siege,Match,https://images.igdb.com/igdb/image/upload/t_1080p/co3jtb.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co3jtb.jpg,Match,Yan,,OK
a1e00d43-122b-4705-9b78-45b6de118fda,233585,HiFi Rush,Hi-Fi Rush,Punctuation Mismatch,https://images.igdb.com/igdb/image/upload/t_1080p/co6219.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co6219.jpg,Match,Matheus,,MINOR_TITLE_DEVIATION (PUNCTUATION_MISMATCH)
110ba80c-ce83-4ee5-a917-eeb3ae270b32,103210,Hitman 2,Hitman 2,Match,https://images.igdb.com/igdb/image/upload/t_1080p/co2qcq.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co2qcq.jpg,Match,Lucas,,OK
57c52158-1792-465a-be6e-5471ae2783d9,136625,Hogwarts Legacy,Hogwarts Legacy,Match,https://images.igdb.com/igdb/image/upload/t_1080p/coaav6.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/coaav6.jpg,Match,Matheus,,OK
9073d3bf-e440-4c5e-b50a-3c79c83d09b7,14593,Hollow Knight,Hollow Knight,Match,https://images.igdb.com/igdb/image/upload/t_1080p/cobfzp.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/cobfzp.jpg,Match,Matheus,,OK
33ee8d79-7d27-435f-837a-6a569abee848,7170,Ico,Ico,Match,https://images.igdb.com/igdb/image/upload/t_1080p/co3r78.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co3r78.jpg,Match,Lucas,,OK
0821fe01-6774-4f13-ae4a-5261b821a9b9,3016,Illusion of Gaia,Illusion of Gaia,Match,https://images.igdb.com/igdb/image/upload/t_1080p/co8kyi.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co8kyi.jpg,Match,Yan,,OK
49baf3bf-1319-470c-923d-c127889d3749,8154,Jackie Chan Adventures,Jackie Chan Adventures,Match,https://images.igdb.com/igdb/image/upload/t_1080p/co9e0t.jpg,https://images.igdb.com/igdb/image/upload/t_cover_big/co9e0t.jpg,Match,Lucas,nome errado,OK
